,index,date,sport,exercise,details,comments,distance_km,run_hours,run_minutes,run_seconds,run_total_seconds,details_fixed,reps_sum,weight,weights_lifted,muscle1,muscle2,description
0,1,2024-01-02,siłownia,wyciskanie na ławce płaskiej,80kg x3 x3 x3; 70kg x8 x8,,0.0,0.0,0.0,0.0,0.0,80kg 1x3 1x3 1x3,9,80.0,720.0,klatka,triceps,
1,1,2024-01-02,siłownia,wyciskanie na ławce płaskiej,80kg x3 x3 x3; 70kg x8 x8,,0.0,0.0,0.0,0.0,0.0, 70kg 1x8 1x8,16,70.0,1120.0,klatka,triceps,
2,1,2024-01-02,siłownia,podciąganie podchwytem,10kg x4 x4 x3 x3,,0.0,0.0,0.0,0.0,0.0,10kg 1x4 1x4 1x3 1x3,14,10.0,140.0,plecy,biceps,
3,1,2024-01-02,siłownia,martwy + ohp,30kg x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,30kg 1x8 1x8 1x8,24,30.0,720.0,barki,nogi,"martwy ciąg, podrzucenie sztangi i przejście do OHP"
4,1,2024-01-02,siłownia,modlitewnik sztanga,10kg x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,10kg 1x8 1x8 1x8,24,10.0,240.0,biceps,,
5,1,2024-01-02,siłownia,triceps wyciąg,x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,1x8 1x8 1x8,24,0.0,0.0,triceps,,"wyciąg górny, dowolny uchwyt"
6,1,2024-01-02,siłownia,barki bokiem,9kg x8 x8 x8,,0.0,0.0,0.0,0.0,0.0,9kg 1x8 1x8 1x8,24,9.0,216.0,barki,,
7,2,2024-01-03,bieganie,dystans,6,,6.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
8,2,2024-01-03,bieganie,czas,00:30:39,,0.0,0.0,30.0,39.0,1839.0,,0,0.0,0.0,bieganie,,
9,2,2024-01-03,bieganie,tempo,5'05,,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
10,3,2024-01-07,bieganie,dystans,7,,7.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,bieganie,,
